"date","setting","series","note","info","source"
"-4000000000","secondary","SNW",NA,"~4 billion years ago. The Preservers are the first of the humanoid races to explore the galaxy. They receive a genetically encoded hologram from Captain Jean-Luc Picard, sent through a wormhole from four billion years in the future.","Reciprocity - SNW 2"
"-4000000000","primary","SNW","The time and place of Borg origins is speculative and hotly debated. Placement here is based primarily upon Peter David's assertion in Vendetta that the Borg fought a war with the Preservers.","~4 billion years ago. A disasterous experiment with medical nanotechnology by an unknown race results in the creation of the Borg.","The Beginning - SNW 6"
"-64000000","time travel","TOS",NA,"~64 million years ago. The Enterprise crew witnesses the asteroid collision with prehistoric Earth, causing the extinction of the dinosaurs.","First Frontier - TOS 75"
"-27800","secondary","DS9",NA,"~27800 BC. Backstory","Horn And Ivory - Gateways: What Lay Beyond"
"-2700","inferred","TOS",NA,"~2700 BC. Birth of Spock's son on Sarpeidon.","Yesterday's Son - TOS 11"
"-300","secondary",NA,NA,"~300 BC. Early Vulcan space travel (a.k.a. The Age Of Expansion).","Spock's World - Vulcan Five"
"-79","secondary",NA,NA,"Birth of Surak, son of T'Leia and Stef, on Vulcan.","Spock's World - Vulcan Six"
"-70","secondary","TNG","As seen by Picard within a vision, this may be historically unreliable. In Spock's World, both of Surak's parents remain alive well into his adulthood.","~70 BC. Stef is critically wounded in a battle on the Ishaya plain. Prior to his death, he gives the Ko N'ya stone to Surak, who in turn gives it to the warrior Garamond.","The Devil's Heart - TNG"
"-33","secondary",NA,NA,"Surak discovers his calling in a vision at Mount Seleya.","Spock's World - Vulcan Six"
"-22","secondary","TOS",NA,"Vulcans make first contact with the Orions, resulting in the bloodiest war of Vulcan's history. S'task, a student of Surak's, is captured and leads a violent uprising to escape.","Rihannsu 2: The Romulan Way - TOS 35; Spock's World - Vulcan Six"
"-6","secondary",NA,NA,"Death of Zakal the Terrible, a Kolinahr master, on Vulcan. Nortakh continues the fight of the Kolinahru against Surak's teachings.","The Lost Years - Prologue"
"30","secondary","TOS",NA,"Rejecting Surak's reforms, S'task and eighty thousand followers leave Vulcan in search of a new world.","Rihannsu 2: The Romulan Way - TOS 35 Ch 2, 4"
"60","secondary",NA,NA,"Surak is assassinated by Yhri terrorists.","Spock's World - Vulcan Six"
"500","secondary","TOS",NA,"~500. The Vulcan Travelers, known as the Rihannsu, make planetfall on the twin worlds of ch'Rihan and ch'Havran.","Rihannsu 2: The Romulan Way - TOS 35 Ch 6"
"500","secondary","TOS",NA,"~500. The Adepts of T'Pel settle upon the East Continent of ch'Havran.","Memory Prime - TOS 42"
"578","secondary","TOS",NA,"~578. The rise of the Ruling Queen among the Rihannsu.","Rihannsu 2: The Romulan Way - TOS 35 Ch 8"
"850","secondary",NA,NA,"~830-870. The Heroic Age on Qo'noS.","Kahless"
"1570","secondary","DS9",NA,"~1570. The Supreme Ruler of Jibet and a thousand followers leave the planet in the sleeper ship Nibix.","The Long Night - DS9 14"
"1594","time travel","SNW",NA,"Via the Guardian of Forever, Uhura arrives in Earth's past to retrieve William Harrod. She has a short affair with William Shakespeare.","If I Lose Thee... - SNW 3"
